parcel_id,apprlnd,apprbld,apprtot,landuse,school,pclass,staddr,usps_city,taxdesi,area_a,rooms,baths,bedrms,nostory,yearblt,proptyp,point_x,point_y,source_year,taxdist_code,staddr_norm,stories_x_sqft,sqft_prev,delta_sqft
170-002027,2900.0,0.0,2900.0,501,2506,R,OLD STONE RD,Blacklick,JEFFERSON TOWNSHIP,,0,0,0,,,,1884687.95977,739795.785041,2024,170,OLD STONE ROAD,,,
170-002034,110000.0,367400.0,477400.0,510,2506,R,7335 HAVENS CORNERS RD,Blacklick,JEFFERSON TOWNSHIP,2500.0,7,2,3,10.0,1997.0,,1884585.38575,735624.078735,2024,170,7335 HAVENS CORNERS ROAD,25000.0,2500.0,0.0
170-002033,110000.0,591000.0,701000.0,510,2506,R,7311 HAVENS CORNERS RD,Blacklick,JEFFERSON TOWNSHIP,3078.0,7,2,3,20.0,2000.0,,1884403.9774,735635.797052,2024,170,7311 HAVENS CORNERS ROAD,61560.0,3078.0,0.0
170-002032,110000.0,462100.0,572100.0,510,2506,R,1704 FOXHALL RD,Blacklick,JEFFERSON TOWNSHIP,2974.0,6,2,3,10.0,2000.0,,1884200.37257,735643.011604,2024,170,1704 FOXHALL ROAD,29740.0,2974.0,0.0
170-002039,110000.0,338600.0,448600.0,510,2506,R,1582 FOXHALL RD,Blacklick,JEFFERSON TOWNSHIP,2873.0,8,2,4,20.0,1995.0,,1884453.62707,734814.205847,2024,170,1582 FOXHALL ROAD,57460.0,2873.0,0.0
170-002038,110000.0,479900.0,589900.0,510,2506,R,1602 FOXHALL RD,Blacklick,JEFFERSON TOWNSHIP,3589.0,8,3,4,20.0,1994.0,,1884483.79187,734959.37329,2024,170,1602 FOXHALL ROAD,71780.0,3589.0,0.0
170-002036,110000.0,302100.0,412100.0,510,2506,R,1646 FOXHALL RD,Blacklick,JEFFERSON TOWNSHIP,2194.0,7,2,3,20.0,1992.0,,1884506.59489,735283.957614,2024,170,1646 FOXHALL ROAD,43880.0,2194.0,0.0
170-002037,110000.0,421200.0,531200.0,510,2506,R,1624 FOXHALL RD,Blacklick,JEFFERSON TOWNSHIP,2928.0,8,4,3,15.0,1992.0,,1884516.2102,735120.486813,2024,170,1624 FOXHALL ROAD,43920.0,2928.0,0.0
170-002035,110000.0,364600.0,474600.0,510,2506,R,1668 FOXHALL RD,Blacklick,JEFFERSON TOWNSHIP,2620.0,9,3,5,20.0,1993.0,,1884466.95505,735435.423437,2024,170,1668 FOXHALL ROAD,52400.0,2620.0,0.0
171-001392,70400.0,234200.0,304600.0,510,4505,R,1227 GLENBEACOME ST,Blacklick,JEFFERSON TWP-LICKING HTS LSD,2612.0,8,2,4,20.0,2005.0,,1885730.74517,733169.864074,2024,171,1227 GLENBEACOME STREET,52240.0,2612.0,0.0
171-001390,69300.0,233400.0,302700.0,510,4505,R,8069 GRANT PARK AV,Blacklick,JEFFERSON TWP-LICKING HTS LSD,2612.0,8,2,4,20.0,2005.0,,1885670.36225,732961.171496,2024,171,8069 GRANT PARK AV,52240.0,2612.0,0.0
171-001391,78000.0,187800.0,265800.0,510,4505,R,1223 GLENBEACOME ST,Blacklick,JEFFERSON TWP-LICKING HTS LSD,1840.0,7,2,3,20.0,2005.0,,1885726.23566,733105.838201,2024,171,1223 GLENBEACOME STREET,36800.0,1840.0,0.0
171-001389,70400.0,177400.0,247800.0,510,4505,R,8075 GRANT PARK AV,Blacklick,JEFFERSON TWP-LICKING HTS LSD,1680.0,7,2,3,20.0,2005.0,,1885722.75101,732958.019025,2024,171,8075 GRANT PARK AV,33600.0,1680.0,0.0
170-003215,170000.0,574600.0,744600.0,510,2506,R,1780 OXBOW DR,Blacklick,JEFFERSON TOWNSHIP,4207.0,9,4,4,20.0,2004.0,,1878693.42903,734718.650756,2024,170,1780 OXBOW DRIVE,84140.0,4207.0,0.0
170-003213,170000.0,567000.0,737000.0,510,2506,R,1695 EAGLE GLEN DR,Blacklick,JEFFERSON TOWNSHIP,3188.0,8,3,3,10.0,2004.0,,1878314.86884,734606.653769,2024,170,1695 EAGLE GLEN DRIVE,31880.0,3188.0,0.0
170-003214,170000.0,516000.0,686000.0,510,2506,R,1700 EAGLE GLEN DR,Blacklick,JEFFERSON TOWNSHIP,3138.0,10,3,4,20.0,2004.0,,1878583.75692,734867.530462,2024,170,1700 EAGLE GLEN DRIVE,62760.0,3138.0,0.0
170-003212,170000.0,558900.0,728900.0,510,2506,R,1685 EAGLE GLEN DR,Blacklick,JEFFERSON TOWNSHIP,3402.0,8,3,4,10.0,2003.0,,1878357.30806,734459.024471,2024,170,1685 EAGLE GLEN DRIVE,34020.0,3402.0,0.0
170-003219,170000.0,718200.0,888200.0,510,2506,R,1660 EAGLE GLEN DR,Blacklick,JEFFERSON TOWNSHIP,4217.0,9,3,3,15.0,2005.0,,1878590.88658,734237.813053,2024,170,1660 EAGLE GLEN DRIVE,63255.0,4217.0,0.0
170-003218,170000.0,888200.0,1058200.0,510,2506,R,1670 EAGLE GLEN DR,Blacklick,JEFFERSON TOWNSHIP,4193.0,9,3,4,20.0,2003.0,,1878614.06239,734337.330571,2024,170,1670 EAGLE GLEN DRIVE,83860.0,4193.0,0.0
170-003217,170000.0,1164400.0,1334400.0,510,2506,R,1680 EAGLE GLEN DR,Blacklick,JEFFERSON TOWNSHIP,4275.0,10,4,6,10.0,2004.0,,1878644.26164,734460.741167,2024,170,1680 EAGLE GLEN DRIVE,42750.0,4275.0,0.0
170-003216,170000.0,704000.0,874000.0,510,2506,R,6540 OXBOW DR,Blacklick,JEFFERSON TOWNSHIP,3393.0,9,4,4,20.0,2007.0,,1878531.63637,734653.110369,2024,170,6540 OXBOW DRIVE,67860.0,3393.0,0.0
171-001386,78000.0,236900.0,314900.0,510,4505,R,8091 GRANT PARK AV,Blacklick,JEFFERSON TWP-LICKING HTS LSD,2612.0,8,2,4,20.0,2005.0,,1885890.64929,732946.939651,2024,171,8091 GRANT PARK AV,52240.0,2612.0,0.0
171-001385,78000.0,205500.0,283500.0,510,4505,R,8092 BEARDSLEY AV,Blacklick,JEFFERSON TWP-LICKING HTS LSD,2152.0,6,2,4,20.0,2005.0,,1885890.62633,732831.001562,2024,171,8092 BEARDSLEY AV,43040.0,2152.0,0.0
171-001384,70400.0,213200.0,283600.0,510,4505,R,8086 BEARDSLEY AV,Blacklick,JEFFERSON TWP-LICKING HTS LSD,2312.0,6,2,4,20.0,2005.0,,1885823.14902,732831.594163,2024,171,8086 BEARDSLEY AV,46240.0,2312.0,0.0
170-003220,170000.0,800300.0,970300.0,510,2506,R,1650 EAGLE GLEN DR,Blacklick,JEFFERSON TOWNSHIP,4057.0,9,3,4,20.0,2003.0,,1878571.85734,734138.499357,2024,170,1650 EAGLE GLEN DRIVE,81140.0,4057.0,0.0
171-001845,78000.0,339500.0,417500.0,510,4505,R,8098 BILTMORE DR,Blacklick,JEFFERSON TWP-LICKING HTS LSD,3040.0,6,2,4,20.0,2016.0,,1885994.07346,733883.203362,2024,171,8098 BILTMORE DRIVE,60800.0,3040.0,0.0
171-001844,78000.0,241100.0,319100.0,510,4505,R,1307 CORDELLA ST,Blacklick,JEFFERSON TWP-LICKING HTS LSD,1644.0,5,2,3,10.0,2016.0,,1885842.42104,733922.892013,2024,171,1307 CORDELLA STREET,16440.0,1644.0,0.0
171-001843,78000.0,294100.0,372100.0,510,4505,R,1299 CORDELLA ST,Blacklick,JEFFERSON TWP-LICKING HTS LSD,2412.0,6,2,3,20.0,2016.0,,1885837.72617,733859.401326,2024,171,1299 CORDELLA STREET,48240.0,2412.0,0.0
171-001842,78000.0,251400.0,329400.0,510,4505,R,1293 GLENBEACOME ST,Blacklick,JEFFERSON TWP-LICKING HTS LSD,2000.0,6,2,4,20.0,2016.0,,1885805.58672,733812.513707,2024,171,1293 GLENBEACOME STREET,40000.0,2000.0,0.0
170-002019,195300.0,698300.0,893600.0,510,2506,R,2290 OLD STONE RD,Blacklick,JEFFERSON TOWNSHIP,4001.0,10,4,5,20.0,1995.0,,1884541.76051,740404.384135,2024,170,2290 OLD STONE ROAD,80020.0,4001.0,0.0
170-002018,196200.0,619800.0,816000.0,510,2506,R,2278 OLD STONE RD,Blacklick,JEFFERSON TOWNSHIP,4138.0,11,4,4,15.0,1991.0,,1884705.9371,740295.556433,2024,170,2278 OLD STONE ROAD,62070.0,4138.0,0.0
170-002017,203600.0,1179100.0,1382700.0,510,2506,R,2252 OLD STONE RD,Blacklick,JEFFERSON TOWNSHIP,5963.0,11,4,4,20.0,1992.0,,1884747.62665,740067.133744,2024,170,2252 OLD STONE ROAD,119260.0,5963.0,0.0
170-002024,352500.0,1638600.0,1991100.0,510,2506,R,2752 COLTS NECK RD,Blacklick,JEFFERSON TOWNSHIP,5903.0,11,4,4,20.0,1993.0,,1884698.97025,740750.201193,2024,170,2752 COLTS NECK ROAD,118060.0,5903.0,0.0
170-002023,225700.0,1184900.0,1410600.0,510,2506,R,2362 COB TAIL WY,Blacklick,JEFFERSON TOWNSHIP,4089.0,12,2,4,10.0,1991.0,,1885150.30711,740878.544932,2024,170,2362 COB TAIL WY,40890.0,4089.0,0.0
170-002022,188200.0,674600.0,862800.0,510,2506,R,2257 OLD STONE RD,Blacklick,JEFFERSON TOWNSHIP,3988.0,11,3,4,20.0,1999.0,,1884408.18015,739949.439589,2024,170,2257 OLD STONE ROAD,79760.0,3988.0,0.0
170-002020,199900.0,836500.0,1036400.0,510,2506,R,2291 OLD STONE RD,Blacklick,JEFFERSON TOWNSHIP,5148.0,8,4,4,20.0,2001.0,,1884324.24618,740317.535556,2024,170,2291 OLD STONE ROAD,102960.0,5148.0,0.0
170-002021,201500.0,852700.0,1054200.0,510,2506,R,2279 OLD STONE RD,Blacklick,JEFFERSON TOWNSHIP,5927.0,10,3,4,20.0,1990.0,,1884268.12424,740116.544734,2024,170,2279 OLD STONE ROAD,118540.0,5927.0,0.0
171-001838,78000.0,238700.0,316700.0,510,4505,R,1257 GLENBEACOME ST,Blacklick,JEFFERSON TWP-LICKING HTS LSD,1924.0,7,2,4,20.0,2016.0,,1885747.71077,733432.598948,2024,171,1257 GLENBEACOME STREET,38480.0,1924.0,0.0
171-001837,78000.0,314800.0,392800.0,510,4505,R,1251 GLENBEACOME ST,Blacklick,JEFFERSON TWP-LICKING HTS LSD,2770.0,7,3,5,20.0,2016.0,,1885743.93863,733380.982828,2024,171,1251 GLENBEACOME STREET,55400.0,2770.0,0.0
170-002025,57100.0,0.0,57100.0,501,2506,R,CREEK HOLLOW RD,Blacklick,JEFFERSON TOWNSHIP,,0,0,0,,,,1884715.67215,739457.093543,2024,170,CREEK HOLLOW ROAD,,,
170-003223,170000.0,543900.0,713900.0,510,2506,R,1620 EAGLE GLEN DR,Blacklick,JEFFERSON TOWNSHIP,3392.0,9,3,5,10.0,2003.0,,1878589.27282,733836.842316,2024,170,1620 EAGLE GLEN DRIVE,33920.0,3392.0,0.0
170-003221,170000.0,648100.0,818100.0,510,2506,R,1640 EAGLE GLEN DR,Blacklick,JEFFERSON TOWNSHIP,4267.0,10,4,4,20.0,2004.0,,1878556.95005,734036.196412,2024,170,1640 EAGLE GLEN DRIVE,85340.0,4267.0,0.0
170-003222,170000.0,547200.0,717200.0,510,2506,R,1630 EAGLE GLEN DR,Blacklick,JEFFERSON TOWNSHIP,3148.0,8,3,4,20.0,2003.0,,1878571.6326,733936.545201,2024,170,1630 EAGLE GLEN DRIVE,62960.0,3148.0,0.0
171-001387,69300.0,215800.0,285100.0,510,4505,R,8087 GRANT PARK AV,Blacklick,JEFFERSON TWP-LICKING HTS LSD,2312.0,8,2,4,20.0,2005.0,,1885829.05165,732951.479504,2024,171,8087 GRANT PARK AV,46240.0,2312.0,0.0
170-003227,170000.0,522400.0,692400.0,510,2506,R,6530 LIONS GATE CT,Blacklick,JEFFERSON TOWNSHIP,3016.0,8,3,4,11.0,2003.0,,1878647.48178,733438.561863,2024,170,6530 LIONS GATE COURT,33176.0,3016.0,0.0
170-003226,170000.0,507700.0,677700.0,510,2506,R,6520 LIONS GATE CT,Blacklick,JEFFERSON TOWNSHIP,3363.0,8,3,4,20.0,2003.0,,1878556.61131,733492.390085,2024,170,6520 LIONS GATE COURT,67260.0,3363.0,0.0
170-003225,170000.0,669000.0,839000.0,510,2506,R,1600 EAGLE GLEN DR,Blacklick,JEFFERSON TOWNSHIP,3921.0,10,4,4,10.0,2004.0,,1878637.51173,733608.561113,2024,170,1600 EAGLE GLEN DRIVE,39210.0,3921.0,0.0
170-003224,170000.0,572600.0,742600.0,510,2506,R,1610 EAGLE GLEN DR,Blacklick,JEFFERSON TOWNSHIP,3078.0,9,4,4,10.0,2003.0,,1878613.72651,733733.297576,2024,170,1610 EAGLE GLEN DRIVE,30780.0,3078.0,0.0
170-003231,170000.0,627500.0,797500.0,510,2506,R,6535 LIONS GATE CT,Blacklick,JEFFERSON TOWNSHIP,4305.0,8,3,4,20.0,2003.0,,1878486.64138,733226.10822,2024,170,6535 LIONS GATE COURT,86100.0,4305.0,0.0
170-003229,170000.0,725100.0,895100.0,510,2506,R,6555 LIONS GATE CT,Blacklick,JEFFERSON TOWNSHIP,4109.0,11,3,5,20.0,2004.0,,1878710.1379,733196.490497,2024,170,6555 LIONS GATE COURT,82180.0,4109.0,0.0
170-003230,170000.0,704900.0,874900.0,510,2506,R,6545 LIONS GATE CT,Blacklick,JEFFERSON TOWNSHIP,3554.0,8,4,4,20.0,2003.0,,1878583.32918,733160.735975,2024,170,6545 LIONS GATE COURT,71080.0,4813.0,-1259.0
170-003228,170000.0,725900.0,895900.0,510,2506,R,6540 LIONS GATE CT,Blacklick,JEFFERSON TOWNSHIP,3784.0,8,4,4,10.0,2003.0,,1878712.34057,733344.622582,2024,170,6540 LIONS GATE COURT,37840.0,3784.0,0.0
171-001379,70400.0,179500.0,249900.0,510,4505,R,8056 BEARDSLEY AV,Blacklick,JEFFERSON TWP-LICKING HTS LSD,1680.0,5,2,3,20.0,2005.0,,1885556.64857,732847.974133,2024,171,8056 BEARDSLEY AV,33600.0,1680.0,0.0
170-003234,170000.0,480000.0,650000.0,510,2506,R,1580 EAGLE GLEN DR,Blacklick,JEFFERSON TOWNSHIP,2896.0,8,2,3,10.0,2004.0,,1878216.91546,733240.566442,2024,170,1580 EAGLE GLEN DRIVE,28960.0,2896.0,0.0
170-003233,170000.0,492100.0,662100.0,510,2506,R,1590 EAGLE GLEN DR,Blacklick,JEFFERSON TOWNSHIP,3470.0,7,3,4,20.0,2003.0,,1878339.80359,733236.788973,2024,170,1590 EAGLE GLEN DRIVE,69400.0,3470.0,0.0
170-003232,170000.0,515000.0,685000.0,510,2506,R,6525 LIONS GATE CT,Blacklick,JEFFERSON TOWNSHIP,3316.0,8,4,4,10.0,2008.0,,1878432.41577,733332.975214,2024,170,6525 LIONS GATE COURT,33160.0,3316.0,0.0
170-002000,222400.0,593300.0,815700.0,510,2506,R,7913 CREEK HOLLOW RD,Blacklick,JEFFERSON TOWNSHIP,3547.0,10,3,4,20.0,1992.0,,1883841.87263,739584.150786,2024,170,7913 CREEK HOLLOW ROAD,70940.0,3547.0,0.0
171-001850,78000.0,208800.0,286800.0,510,4505,R,1266 GLENBEACOME ST,Blacklick,JEFFERSON TWP-LICKING HTS LSD,1436.0,5,2,3,10.0,2017.0,,1885924.85936,733511.852399,2024,171,1266 GLENBEACOME STREET,14360.0,1436.0,0.0
171-001849,78000.0,266600.0,344600.0,510,4505,R,1272 GLENBEACOME ST,Blacklick,JEFFERSON TWP-LICKING HTS LSD,2275.0,5,2,3,20.0,2017.0,,1885928.11559,733564.246077,2024,171,1272 GLENBEACOME STREET,45500.0,2275.0,0.0
171-001847,78000.0,243400.0,321400.0,510,4505,R,1284 GLENBEACOME ST,Blacklick,JEFFERSON TWP-LICKING HTS LSD,1924.0,6,2,4,20.0,2016.0,,1885934.71417,733670.527852,2024,171,1284 GLENBEACOME STREET,38480.0,1924.0,0.0
170-002005,410500.0,1285800.0,1696300.0,510,2506,R,7910 CREEK HOLLOW RD,Blacklick,JEFFERSON TOWNSHIP,5771.0,10,4,5,20.0,2000.0,,1884050.62632,739920.008054,2024,170,7910 CREEK HOLLOW ROAD,115420.0,5771.0,0.0
170-002004,200700.0,997300.0,1198000.0,510,2506,R,7948 CREEK HOLLOW RD,Blacklick,JEFFERSON TOWNSHIP,5619.0,11,4,4,10.0,1998.0,,1884200.15932,739772.768765,2024,170,7948 CREEK HOLLOW ROAD,56190.0,5619.0,0.0
170-002003,203100.0,549100.0,752200.0,510,2506,R,7988 CREEK HOLLOW RD,Blacklick,JEFFERSON TOWNSHIP,3951.0,11,5,4,20.0,1998.0,,1884445.93926,739749.905047,2024,170,7988 CREEK HOLLOW ROAD,79020.0,3951.0,0.0
170-002001,213500.0,914000.0,1127500.0,510,2506,R,7945 CREEK HOLLOW RD,Blacklick,JEFFERSON TOWNSHIP,5276.0,10,4,4,20.0,2004.0,,1884079.17941,739473.209407,2024,170,7945 CREEK HOLLOW ROAD,105520.0,5276.0,0.0
170-002002,206100.0,587200.0,793300.0,510,2506,R,7977 CREEK HOLLOW RD,Blacklick,JEFFERSON TOWNSHIP,3840.0,9,3,4,20.0,2003.0,,1884371.55825,739453.53835,2024,170,7977 CREEK HOLLOW ROAD,76800.0,3840.0,0.0
170-002008,251700.0,1117500.0,1369200.0,510,2506,R,2650 COLTS NECK RD,Blacklick,JEFFERSON TOWNSHIP,7804.0,11,4,5,20.0,2000.0,,1884161.75717,740549.680351,2024,170,2650 COLTS NECK ROAD,156080.0,7804.0,0.0
170-002007,201800.0,634900.0,836700.0,510,2506,R,7840 CREEK HOLLOW RD,Blacklick,JEFFERSON TOWNSHIP,3512.0,9,4,4,10.0,1999.0,,1883966.15429,740348.147781,2024,170,7840 CREEK HOLLOW ROAD,35120.0,3512.0,0.0
170-002006,201900.0,869000.0,1070900.0,510,2506,R,7874 CREEK HOLLOW RD,Blacklick,JEFFERSON TOWNSHIP,5242.0,10,2,4,20.0,1998.0,,1883988.79081,740133.080954,2024,170,7874 CREEK HOLLOW ROAD,104840.0,5242.0,0.0
170-002016,229600.0,576300.0,805900.0,510,2506,R,2229 COBTAIL WY,Blacklick,JEFFERSON TOWNSHIP,3587.0,10,4,5,20.0,2002.0,,1884969.20921,739855.384659,2024,170,2229 COBTAIL WY,71740.0,3587.0,0.0
170-002015,191600.0,958400.0,1150000.0,510,2506,R,2257 COB TAIL WY,Blacklick,JEFFERSON TOWNSHIP,6096.0,11,6,6,20.0,1997.0,,1885040.49475,740056.587505,2024,170,2257 COB TAIL WY,121920.0,6096.0,0.0
170-002014,204000.0,1117800.0,1321800.0,510,2506,R,2289 COB TAIL WY,Blacklick,JEFFERSON TOWNSHIP,5568.0,15,5,5,20.0,1996.0,,1885016.01071,740244.070726,2024,170,2289 COB TAIL WY,111360.0,5568.0,0.0
170-002010,213600.0,786400.0,1000000.0,510,2506,R,2698 COLTS NECK RD,Blacklick,JEFFERSON TOWNSHIP,4777.0,9,6,3,20.0,2000.0,,1884378.41684,740688.462882,2024,170,2698 COLTS NECK ROAD,95540.0,4777.0,0.0
170-002013,211000.0,733300.0,944300.0,510,2506,R,2325 COB TAIL WY,Blacklick,JEFFERSON TOWNSHIP,4832.0,10,5,4,20.0,1995.0,,1884954.37451,740447.060805,2024,170,2325 COB TAIL WY,96640.0,4832.0,0.0
171-001382,70400.0,185000.0,255400.0,510,4505,R,8074 BEARDSLEY AV,Blacklick,JEFFERSON TWP-LICKING HTS LSD,1720.0,5,2,3,20.0,2005.0,,1885715.34904,732838.227598,2024,171,8074 BEARDSLEY AV,34400.0,1720.0,0.0
171-001383,70400.0,213200.0,283600.0,510,4505,R,8080 BEARDSLEY AV,Blacklick,JEFFERSON TWP-LICKING HTS LSD,2312.0,6,2,4,20.0,2005.0,,1885769.24944,732834.909035,2024,171,8080 BEARDSLEY AV,46240.0,2312.0,0.0
171-001381,69300.0,245500.0,314800.0,510,4505,R,8068 BEARDSLEY AV,Blacklick,JEFFERSON TWP-LICKING HTS LSD,2780.0,6,2,4,20.0,2005.0,,1885662.95167,732841.42354,2024,171,8068 BEARDSLEY AV,55600.0,2780.0,0.0
171-001380,70400.0,261800.0,332200.0,510,4505,R,8062 BEARDSLEY AV,Blacklick,JEFFERSON TWP-LICKING HTS LSD,2612.0,6,2,4,20.0,2005.0,,1885610.54692,732844.633015,2024,171,8062 BEARDSLEY AV,52240.0,2612.0,0.0
170-003237,103500.0,582100.0,685600.0,511,2506,R,998 REYN NEW ALBANY RD,Blacklick,JEFFERSON TOWNSHIP,2412.0,8,3,3,10.0,2006.0,,1881956.55898,730264.836255,2024,170,998 REYN NEW ALBANY ROAD,24120.0,2412.0,0.0
170-003239,111700.0,0.0,111700.0,501,2506,R,HAVENS CORNER RD,Blacklick,JEFFERSON TOWNSHIP,,0,0,0,,,,1888878.96025,736041.828064,2024,170,HAVENS CORNER ROAD,,,
170-003236,170000.0,511400.0,681400.0,510,2506,R,1560 EAGLE GLEN DR,Blacklick,JEFFERSON TOWNSHIP,3218.0,8,4,4,10.0,2003.0,,1878011.37618,733274.854841,2024,170,1560 EAGLE GLEN DRIVE,32180.0,3218.0,0.0
170-003235,170000.0,517900.0,687900.0,510,2506,R,1570 EAGLE GLEN DR,Blacklick,JEFFERSON TOWNSHIP,3297.0,8,3,4,20.0,2003.0,,1878110.35113,733260.457724,2024,170,1570 EAGLE GLEN DRIVE,65940.0,3297.0,0.0
170-003243,80100.0,271500.0,351600.0,510,2506,R,7945 BLACK WILLOW DR,Blacklick,JEFFERSON TOWNSHIP,2364.0,7,2,4,20.0,2003.0,,1884328.03882,732064.868334,2024,170,7945 BLACK WILLOW DRIVE,47280.0,2364.0,0.0
170-003242,80100.0,268900.0,349000.0,510,2506,R,7951 BLACK WILLOW DR,Blacklick,JEFFERSON TOWNSHIP,2084.0,8,2,4,20.0,2003.0,,1884381.91339,732061.369325,2024,170,7951 BLACK WILLOW DRIVE,41680.0,2084.0,0.0
170-003241,80100.0,190900.0,271000.0,510,2506,R,7957 BLACK WILLOW DR,Blacklick,JEFFERSON TOWNSHIP,1348.0,7,2,3,10.0,2003.0,,1884435.81174,732057.890002,2024,170,7957 BLACK WILLOW DRIVE,13480.0,1348.0,0.0
170-003240,168900.0,460600.0,629500.0,511,2506,R,8000 HAVENS CORNER RD,Blacklick,JEFFERSON TOWNSHIP,3533.0,8,3,3,10.0,2005.0,,1890032.75715,735961.4985,2024,170,8000 HAVENS CORNER ROAD,35330.0,3533.0,0.0
171-001376,70400.0,244300.0,314700.0,510,4505,R,8038 BEARDSLEY AV,Blacklick,JEFFERSON TWP-LICKING HTS LSD,2760.0,8,2,4,20.0,2005.0,,1885397.95343,732857.807611,2024,171,8038 BEARDSLEY AV,55200.0,2760.0,0.0
171-001374,70400.0,231200.0,301600.0,510,4505,R,8026 BEARDSLEY AV,Blacklick,JEFFERSON TWP-LICKING HTS LSD,2612.0,8,2,4,20.0,2005.0,,1885291.6532,732864.395524,2024,171,8026 BEARDSLEY AV,52240.0,2612.0,0.0
171-001375,70400.0,206200.0,276600.0,510,4505,R,8032 BEARDSLEY AV,Blacklick,JEFFERSON TWP-LICKING HTS LSD,2148.0,7,2,3,20.0,2005.0,,1885344.76087,732860.529472,2024,171,8032 BEARDSLEY AV,42960.0,2148.0,0.0
170-003244,80100.0,261900.0,342000.0,510,2506,R,7939 BLACK WILLOW DR,Blacklick,JEFFERSON TOWNSHIP,1876.0,7,2,3,20.0,2003.0,,1884274.16098,732068.325102,2024,170,7939 BLACK WILLOW DRIVE,37520.0,1876.0,0.0
171-001854,78000.0,253000.0,331000.0,510,4505,R,1242 GLENBEACOME ST,Blacklick,JEFFERSON TWP-LICKING HTS LSD,2000.0,6,2,4,20.0,2016.0,,1885912.00465,733305.171792,2024,171,1242 GLENBEACOME STREET,40000.0,2000.0,0.0
171-001853,78000.0,231500.0,309500.0,510,4505,R,1248 GLENBEACOME ST,Blacklick,JEFFERSON TWP-LICKING HTS LSD,1940.0,6,2,3,20.0,2016.0,,1885915.28343,733357.670867,2024,171,1248 GLENBEACOME STREET,38800.0,1940.0,0.0
171-001852,78000.0,289800.0,367800.0,510,4505,R,1254 GLENBEACOME ST,Blacklick,JEFFERSON TWP-LICKING HTS LSD,2500.0,6,2,4,20.0,2016.0,,1885918.5372,733410.062904,2024,171,1254 GLENBEACOME STREET,50000.0,2500.0,0.0
171-001851,78000.0,248700.0,326700.0,510,4505,R,1260 GLENBEACOME ST,Blacklick,JEFFERSON TWP-LICKING HTS LSD,2000.0,7,2,4,20.0,2016.0,,1885921.69828,733460.957652,2024,171,1260 GLENBEACOME STREET,40000.0,2000.0,0.0
170-001990,580100.0,1299600.0,1879700.0,510,2506,R,2300 COLTS NECK RD,Blacklick,JEFFERSON TOWNSHIP,9297.0,9,4,4,10.0,2016.0,,1882748.20561,739869.872819,2024,170,2300 COLTS NECK ROAD,92970.0,9297.0,0.0
170-001988,1800.0,0.0,1800.0,500,2506,R,2576 COLTS NECK RD,Blacklick,JEFFERSON TOWNSHIP,,0,0,0,,,,1881873.3591,739886.974983,2024,170,2576 COLTS NECK ROAD,,,
170-001989,9400.0,0.0,9400.0,501,2506,R,COLTS NECK RD,Blacklick,JEFFERSON TOWNSHIP,,0,0,0,,,,1882594.20125,739449.249071,2024,170,COLTS NECK ROAD,,,
170-001987,5500.0,0.0,5500.0,501,2506,R,COLTS NECK RD,Blacklick,JEFFERSON TOWNSHIP,,0,0,0,,,,1881972.7257,739657.400311,2024,170,COLTS NECK ROAD,,,
170-001998,214300.0,1000300.0,1214600.0,510,2506,R,2576 COLTS NECK RD,Blacklick,JEFFERSON TOWNSHIP,4708.0,8,5,4,20.0,1991.0,,1883670.33877,740179.530582,2024,170,2576 COLTS NECK ROAD,94160.0,4708.0,0.0
170-001997,63400.0,0.0,63400.0,511,2506,R,HAVENS CORNERS RD,Blacklick,JEFFERSON TOWNSHIP,,0,0,0,,,,1887835.28451,735666.162395,2024,170,HAVENS CORNERS ROAD,,,
170-001996,189800.0,110700.0,300500.0,511,2506,R,6865 HAVENS CORNERS RD,Blacklick,JEFFERSON TOWNSHIP,1237.0,6,1,2,10.0,1922.0,,1881081.66982,735308.218147,2024,170,6865 HAVENS CORNERS ROAD,12370.0,1237.0,0.0
170-001995,75000.0,189000.0,264000.0,511,2506,R,6863 HAVENS CORNERS RD,Blacklick,JEFFERSON TOWNSHIP,1564.0,5,2,3,10.0,1959.0,,1881304.36254,735506.293538,2024,170,6863 HAVENS CORNERS ROAD,15640.0,1564.0,0.0
171-001848,78000.0,218900.0,296900.0,510,4505,R,1278 GLENBEACOME ST,Blacklick,JEFFERSON TWP-LICKING HTS LSD,1528.0,5,2,3,10.0,2016.0,,1885931.46163,733618.136225,2024,171,1278 GLENBEACOME STREET,15280.0,1528.0,0.0
171-001846,78000.0,322400.0,400400.0,510,4505,R,1290 GLENBEACOME ST,Blacklick,JEFFERSON TWP-LICKING HTS LSD,2852.0,6,3,4,20.0,2016.0,,1885941.66953,733731.555864,2024,171,1290 GLENBEACOME STREET,57040.0,2852.0,0.0
170-001999,238400.0,997800.0,1236200.0,510,2506,R,7881 CREEK HOLLOW RD,Blacklick,JEFFERSON TOWNSHIP,6116.0,8,4,4,20.0,1991.0,,1883684.30733,739847.12024,2024,170,7881 CREEK HOLLOW ROAD,122320.0,6116.0,0.0
170-003247,79400.0,248000.0,327400.0,510,2506,R,7923 BLACK WILLOW DR,Blacklick,JEFFERSON TOWNSHIP,1904.0,8,2,4,20.0,2004.0,,1884112.46182,732078.756922,2024,170,7923 BLACK WILLOW DRIVE,38080.0,1904.0,0.0
