month,total_runs,sqft_use_100,sqft_use_101,sqft_use_110,sqft_use_111,sqft_use_112,sqft_use_122,sqft_use_123,sqft_use_199,sqft_use_300,sqft_use_330,sqft_use_340,sqft_use_350,sqft_use_351,sqft_use_355,sqft_use_370,sqft_use_399,sqft_use_400,sqft_use_401,sqft_use_403,sqft_use_407,sqft_use_409,sqft_use_413,sqft_use_417,sqft_use_420,sqft_use_421,sqft_use_422,sqft_use_426,sqft_use_429,sqft_use_430,sqft_use_435,sqft_use_442,sqft_use_443,sqft_use_444,sqft_use_447,sqft_use_452,sqft_use_455,sqft_use_456,sqft_use_458,sqft_use_463,sqft_use_465,sqft_use_468,sqft_use_470,sqft_use_471,sqft_use_479,sqft_use_480,sqft_use_481,sqft_use_489,sqft_use_495,sqft_use_499,sqft_use_500,sqft_use_501,sqft_use_502,sqft_use_503,sqft_use_504,sqft_use_505,sqft_use_510,sqft_use_511,sqft_use_512,sqft_use_513,sqft_use_514,sqft_use_515,sqft_use_521,sqft_use_522,sqft_use_534,sqft_use_540,sqft_use_550,sqft_use_551,sqft_use_553,sqft_use_599,sqft_use_620,sqft_use_630,sqft_use_640,sqft_use_650,sqft_use_660,sqft_use_680,sqft_use_685,sqft_use_690,sqft_use_840,sqft_use_899,total_certified_beds,avg_residents
2020-04-01,130,0.0,21452.0,0.0,1832.0,3427.0,18708.0,2880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1228.0,0.0,0.0,0.0,0.0,0.0,1685.0,2986.0,1106.0,0.0,0.0,0.0,0.0,5867.0,0.0,0.0,0.0,0.0,0.0,0.0,10026405.0,1583367.0,105938.0,20783.0,18763.0,4022.0,0.0,0.0,0.0,0.0,719985.0,14862.0,0.0,119654.0,0.0,2660.0,0.0,5126.0,1711.0,1482.0,1962.0,0.0,0.0,0.0,50,0.0
2020-05-01,162,0.0,21452.0,0.0,1832.0,3427.0,18708.0,2880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1228.0,0.0,0.0,0.0,0.0,0.0,1685.0,2986.0,1106.0,0.0,0.0,0.0,0.0,5867.0,0.0,0.0,0.0,0.0,0.0,0.0,10026405.0,1583367.0,105938.0,20783.0,18763.0,4022.0,0.0,0.0,0.0,0.0,719985.0,14862.0,0.0,119654.0,0.0,2660.0,0.0,5126.0,1711.0,1482.0,1962.0,0.0,0.0,0.0,50,0.0
2020-06-01,139,0.0,21452.0,0.0,1832.0,3427.0,18708.0,2880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1228.0,0.0,0.0,0.0,0.0,0.0,1685.0,2986.0,1106.0,0.0,0.0,0.0,0.0,5867.0,0.0,0.0,0.0,0.0,0.0,0.0,10024538.0,1584899.0,105938.0,20783.0,18763.0,4022.0,0.0,0.0,0.0,0.0,719985.0,14862.0,0.0,119654.0,0.0,2660.0,0.0,5126.0,1711.0,1482.0,1962.0,0.0,0.0,0.0,50,0.0
2020-07-01,155,0.0,21452.0,0.0,1832.0,3427.0,18708.0,2880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1228.0,0.0,0.0,0.0,0.0,0.0,1685.0,2986.0,1106.0,0.0,0.0,0.0,0.0,5867.0,0.0,0.0,0.0,0.0,0.0,0.0,10024090.0,1584899.0,105938.0,20783.0,18763.0,4022.0,0.0,0.0,0.0,0.0,719985.0,14862.0,0.0,119654.0,0.0,2660.0,0.0,5126.0,1711.0,1482.0,1962.0,0.0,0.0,0.0,50,0.0
2020-08-01,167,0.0,18332.0,0.0,1832.0,3427.0,18708.0,2880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1228.0,0.0,0.0,0.0,0.0,0.0,1685.0,2986.0,1106.0,0.0,0.0,0.0,0.0,5867.0,358860.0,25485.0,0.0,0.0,0.0,0.0,10025566.0,1584002.0,112070.0,20783.0,18763.0,4022.0,0.0,0.0,0.0,0.0,719985.0,14862.0,0.0,138273.0,0.0,2660.0,0.0,5126.0,1711.0,1482.0,1962.0,0.0,0.0,0.0,50,0.0
2020-09-01,168,0.0,18332.0,0.0,1832.0,3427.0,18708.0,2880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1228.0,0.0,0.0,0.0,0.0,0.0,1685.0,2986.0,1106.0,0.0,0.0,0.0,0.0,5867.0,358860.0,25485.0,0.0,0.0,0.0,0.0,10025566.0,1584002.0,112070.0,20783.0,18763.0,4022.0,0.0,0.0,0.0,0.0,719985.0,14862.0,0.0,138273.0,0.0,2660.0,0.0,5126.0,1711.0,1482.0,1962.0,0.0,0.0,0.0,50,0.0
2020-10-01,154,0.0,18332.0,0.0,1832.0,3427.0,18708.0,2880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1228.0,0.0,0.0,0.0,0.0,0.0,1685.0,2986.0,1106.0,0.0,0.0,0.0,0.0,5867.0,358860.0,25485.0,0.0,0.0,0.0,0.0,10025423.0,1582386.0,112070.0,20783.0,18763.0,4022.0,0.0,0.0,0.0,0.0,719985.0,14862.0,0.0,138273.0,0.0,2660.0,0.0,5126.0,1711.0,1482.0,1962.0,0.0,0.0,0.0,50,0.0
2020-11-01,194,0.0,18332.0,0.0,1832.0,3427.0,18708.0,2880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1228.0,0.0,0.0,0.0,0.0,0.0,1685.0,2986.0,1106.0,0.0,0.0,0.0,0.0,5867.0,357111.0,25485.0,0.0,0.0,0.0,0.0,10023930.0,1577786.0,112070.0,20783.0,18763.0,4022.0,0.0,0.0,0.0,0.0,719985.0,14862.0,0.0,138273.0,0.0,2660.0,0.0,5126.0,1711.0,1482.0,1962.0,0.0,0.0,0.0,50,0.0
2020-12-01,198,0.0,18332.0,0.0,1832.0,3427.0,18708.0,2880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1228.0,0.0,0.0,0.0,0.0,0.0,1685.0,2986.0,1106.0,0.0,0.0,0.0,0.0,5867.0,0.0,0.0,0.0,0.0,0.0,0.0,10392368.0,1595433.0,112070.0,18239.0,13441.0,4022.0,0.0,800.0,5322.0,0.0,719985.0,14862.0,48816.0,136641.0,0.0,2660.0,0.0,5126.0,1711.0,1482.0,1962.0,0.0,0.0,0.0,50,0.0
2021-01-01,132,0.0,18332.0,0.0,1832.0,3427.0,18708.0,2880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1228.0,0.0,0.0,0.0,0.0,0.0,1685.0,2986.0,1106.0,0.0,0.0,0.0,0.0,5867.0,0.0,0.0,0.0,0.0,0.0,0.0,10392368.0,1595433.0,112070.0,18239.0,13441.0,4022.0,0.0,800.0,5322.0,0.0,719985.0,14862.0,48816.0,136641.0,0.0,2660.0,0.0,5126.0,1711.0,1482.0,1962.0,0.0,0.0,0.0,50,0.0
