.model,snapshot_month,runs_total,.mean,sqft_total,nh_residents_total,pct_multistory,month_sin,month_cos
arimax,2025 Aug,"N(162, 395)",162.47269921452258,15409832,0,0.9014161968926164,-0.4999999999999979,0.8660254037844398
arimax,2025 Sep,"N(172, 466)",171.56811121159643,15409832,0,0.9014161968926164,-0.4999999999999979,0.8660254037844398
arimax,2025 Oct,"N(175, 478)",175.42074839381738,15409832,0,0.9014161968926164,-0.4999999999999979,0.8660254037844398
arimax,2025 Nov,"N(177, 481)",177.05264953942864,15409832,0,0.9014161968926164,-0.4999999999999979,0.8660254037844398
arimax,2025 Dec,"N(178, 481)",177.74389068752765,15409832,0,0.9014161968926164,-0.4999999999999979,0.8660254037844398
arimax,2026 Jan,"N(178, 481)",178.0366868082426,15409832,0,0.9014161968926164,-0.4999999999999979,0.8660254037844398
arimax,2026 Feb,"N(178, 481)",178.16070947173924,15409832,0,0.9014161968926164,-0.4999999999999979,0.8660254037844398
arimax,2026 Mar,"N(178, 481)",178.21324302656654,15409832,0,0.9014161968926164,-0.4999999999999979,0.8660254037844398
arimax,2026 Apr,"N(178, 481)",178.23549520455552,15409832,0,0.9014161968926164,-0.4999999999999979,0.8660254037844398
arimax,2026 May,"N(178, 481)",178.244920788392,15409832,0,0.9014161968926164,-0.4999999999999979,0.8660254037844398
arimax,2026 Jun,"N(178, 481)",178.24891327985517,15409832,0,0.9014161968926164,-0.4999999999999979,0.8660254037844398
arimax,2026 Jul,"N(178, 481)",178.25060442051662,15409832,0,0.9014161968926164,-0.4999999999999979,0.8660254037844398
