.model,snapshot_month,runs_total,.mean,sqft_total,nh_residents_total,pct_multistory,month_sin,month_cos
arimax,2025 Aug,"N(165, 368)",164.838725840435,15409832,0,0.9014161968926164,-0.4999999999999979,0.8660254037844398
arimax,2025 Sep,"N(175, 434)",174.91799510875833,15409832,0,0.9014161968926164,-0.4999999999999979,0.8660254037844398
arimax,2025 Oct,"N(179, 446)",179.17961838776134,15409832,0,0.9014161968926164,-0.4999999999999979,0.8660254037844398
arimax,2025 Nov,"N(181, 448)",180.98147847192607,15409832,0,0.9014161968926164,-0.4999999999999979,0.8660254037844398
arimax,2025 Dec,"N(182, 449)",181.7433242640923,15409832,0,0.9014161968926164,-0.4999999999999979,0.8660254037844398
arimax,2026 Jan,"N(182, 449)",182.06544084580818,15409832,0,0.9014161968926164,-0.4999999999999979,0.8660254037844398
arimax,2026 Feb,"N(182, 449)",182.20163519548265,15409832,0,0.9014161968926164,-0.4999999999999979,0.8660254037844398
arimax,2026 Mar,"N(182, 449)",182.25921962899565,15409832,0,0.9014161968926164,-0.4999999999999979,0.8660254037844398
arimax,2026 Apr,"N(182, 449)",182.28356694583326,15409832,0,0.9014161968926164,-0.4999999999999979,0.8660254037844398
arimax,2026 May,"N(182, 449)",182.29386125283648,15409832,0,0.9014161968926164,-0.4999999999999979,0.8660254037844398
arimax,2026 Jun,"N(182, 449)",182.2982137963789,15409832,0,0.9014161968926164,-0.4999999999999979,0.8660254037844398
arimax,2026 Jul,"N(182, 449)",182.30005409852674,15409832,0,0.9014161968926164,-0.4999999999999979,0.8660254037844398
