.model,.type,ME,RMSE,MAE,MPE,MAPE,MASE,RMSSE,ACF1
arimax,Test,-9.210709131413994,21.179967587025494,17.009555846590388,-6.843830866659705,10.341071546111003,NA,NA,-0.125574735542562
ets,Test,-38.30292788056183,44.90184304361367,42.42045869019723,-24.531994741030058,26.378421113063865,NA,NA,-0.01399685654815005
snaive,Test,-11,29.19148603861847,26.142857142857142,-8.305121453916817,15.455937752715178,NA,NA,-0.334505666275889
